"Teil,""Deckungsmenge"",""KommNr"",""Bedarfsmenge"",""Termin"",""SubRefObj"""
"x21105015.47F,""0.0"",""150672"",""1000000.0"",""2025-06-13"","""""
"1007a.28,""0.0"",""V-002000"",""2000.0"",""2025-08-26"","""""
"3937s,""0.0"",""V-000250"",""20000.0"",""2026-01-23"","""""
"zs20438.68,""0.0"","""",""25000.0"",""2026-04-22"",""ZV-00218507|zs20438.68||1"""
"378905.68,""50000.0"",""V-001000"",""0.0"",""2025-08-08"","""""
"zs154950068,""0.0"","""",""201600.0"",""2025-07-09"","""""
"zs154950068,""0.0"","""",""201600.0"",""2026-02-10"","""""
"m20025.00.65,""0.0"",""147208-000250"",""2000.0"",""2025-08-11"","""""
"64084c.65,""0.0"","""",""20000.0"",""2025-08-14"",""ZV-00225379|64084c.65||1"""
"a30170030.63,""0.0"","""",""250000.0"",""2025-08-21"",""ZV-00225380|a30170030.63||1"""
"3867f.68,""0.0"",""V-001000"",""1000.0"",""2025-08-11"","""""
"3986s,""5.0"",""116981-000001"",""0.0"",""2025-09-05"","""""
"zs203190.22,""100000.0"",""V-010000"",""0.0"",""2026-11-11"","""""
"sprd33408sw,""0.0"",""V-010000"",""10.0"",""2026-11-05"",""LA-00229594|sprd33408sw||0"""
"zkhuc0095,""0.0"",""V-010000"",""40304.0"",""2026-11-05"",""LA-00229594|zkhuc0095||0"""
"zk80040010,""0.0"","""",""101670.0"",""2026-11-05"",""LA-00229594|zk80040010||0"""
"zs20319.22,""0.0"","""",""100000.0"",""2026-11-05"",""LA-00229594|zs20319.22||0"""
"sprd33404sw,""0.0"","""",""10.0"",""2026-11-05"",""LA-00229594|sprd33404sw||0"""
"zs203190.22,""100000.0"",""V-010000"",""0.0"",""2026-11-27"","""""
"sprd33408sw,""0.0"",""V-010000"",""10.0"",""2026-11-23"",""LA-00229595|sprd33408sw||0"""
"zkhuc0095,""0.0"",""V-010000"",""40304.0"",""2026-11-23"",""LA-00229595|zkhuc0095||0"""
"zk80040010,""0.0"","""",""101670.0"",""2026-11-23"",""LA-00229595|zk80040010||0"""
"zs20319.22,""0.0"","""",""100000.0"",""2026-11-23"",""LA-00229595|zs20319.22||0"""
"sprd33404sw,""0.0"","""",""10.0"",""2026-11-23"",""LA-00229595|sprd33404sw||0"""
"zs203190.22,""100000.0"",""V-010000"",""0.0"",""2026-12-15"","""""
"sprd33408sw,""0.0"",""V-010000"",""10.0"",""2026-12-09"",""LA-00229596|sprd33408sw||0"""
"zkhuc0095,""0.0"",""V-010000"",""40304.0"",""2026-12-09"",""LA-00229596|zkhuc0095||0"""
"zs1515elc112,""0.0"","""",""2000.0"",""2025-10-30"",""ZV-00223380|zs1515elc112||1"""
"zs1515elc112,""0.0"","""",""2000.0"",""2025-11-27"",""ZV-00223381|zs1515elc112||1"""
"zs1515elc112,""0.0"","""",""2000.0"",""2026-03-12"",""ZV-00223382|zs1515elc112||1"""
"zs1515elc112,""0.0"","""",""1000.0"",""2026-05-28"",""ZV-00223383|zs1515elc112||1"""
"999.20,""0.0"","""",""10000.0"",""2025-08-22"",""ZV-00227720|999.20||1"""
"3779s.68,""0.0"",""V-001000"",""10000.0"",""2025-09-04"","""""
"38750a.65,""250.0"",""110615-000500"",""0.0"",""2025-07-23"","""""
"x16110015.47,""1000000.0"","""",""0.0"",""2025-10-29"","""""
"x16110015.47,""1000000.0"","""",""0.0"",""2025-11-11"","""""
"401.24,""0.0"","""",""103600.0"",""2025-10-06"",""LA-00222578|401.24||0"""
"4010.24,""103600.0"",""112452-001400"",""0.0"",""2025-10-15"","""""
"4010.24,""51800.0"",""112452-001400"",""0.0"",""2025-11-03"","""""
"SPRD15400RBK,""0.0"",""112452-001400"",""148.0"",""2025-10-06"",""LA-00222578|SPRD15400RBK||0"""
"SPHUB416RBK,""0.0"",""112452-001400"",""74.0"",""2025-10-06"",""LA-00222578|SPHUB416RBK||0"""
"zk160080070,""0.0"",""112452-001400"",""122689.0"",""2025-10-06"",""LA-00222578|zk160080070||0"""
