"Teil,""Anzahl"""
"1023s.68,""963.0"""
"1024.68,""31023.0"""
"10252503,""1060.0"""
"10252504,""552.0"""
"10252505,""108.0"""
"10252506,""344.0"""
"10252530,""153.0"""
"10255002,""39.0"""
"10255003,""4880.0"""
"10255004,""769.0"""
"10255005,""6467.0"""
"10255006,""295.0"""
"10255017,""33.0"""
"1026c.60,""10901.0"""
"1026f.68,""961.0"""
"1027.98,""1760.0"""
"1027k.60,""1949.0"""
"1032.62,""40707.0"""
"1032.68,""1920.0"""
"1035,""50.0"""
"1035.3,""159.0"""
"1035.4,""1.0"""
"1035.5,""23.0"""
"1035.6,""23.0"""
"1037,""38.0"""
"1037.4,""12.0"""
"1040,""12.0"""
"1040.14,""15.0"""
"1040.31,""12.0"""
"1040.41,""15.0"""
"1040.9,""1.0"""
"1040b,""2.0"""
"1040b.14,""3.0"""
"1040b.2,""5.0"""
"1040b.9,""3.0"""
"1040de.14,""1.0"""
"1040de.2,""1.0"""
"1040de.9,""2.0"""
"1040f,""2.0"""
"1040f.14,""1.0"""
"1040f.2,""5.0"""
"1040f.9,""4.0"""
"1040g.14,""4.0"""
"1040g.2,""1.0"""
"1040g.9,""1.0"""
"1040l.2,""2.0"""
"1040m.14,""1.0"""
"1040m.2,""2.0"""
"1040m.9,""1.0"""
"1040p.14,""9.0"""
"1040p.9,""7.0"""
"1040r.14,""5.0"""
"1040r.2,""5.0"""
"1040r.34,""4.0"""
"1040r.9,""4.0"""
"1040s.14,""4.0"""
"1040s.2,""2.0"""
"1040s.34,""1.0"""
"1040s.9,""2.0"""
"1040u.14,""3.0"""
"1040u.2,""2.0"""
"1040u.9,""1.0"""
"1040v,""2.0"""
"1040v.14,""6.0"""
"1040v.2,""9.0"""
"1040w,""1.0"""
"1040w.14,""3.0"""
"1040w.2,""5.0"""
"1040w.9,""3.0"""
"104105.2,""18.0"""
"104108.14,""20.0"""
"104108.2,""13.0"""
"104108.34,""3.0"""
"104108.9,""5.0"""
"104110.2,""1.0"""
"1041e.14,""1.0"""
"1041e.34,""4.0"""
"1041e.9,""1.0"""
"1041l.2,""2.0"""
"1041l.9,""2.0"""
"1041s08.14,""3.0"""
"1041s08.34,""4.0"""
"1041s08.9,""1.0"""
"1042,""1.0"""
"1042.14,""15.0"""
"1042.2,""6.0"""
"1042.34,""8.0"""
"1042.9,""7.0"""
"1042a.14,""3.0"""
"1042a.2,""2.0"""
"1042a.9,""3.0"""
"1042b.14,""1.0"""
"1042b.9,""1.0"""
"1042c.14,""9.0"""
"1042c.2,""2.0"""
"1042de.14,""2.0"""
"1042de.2,""8.0"""
"1042de.9,""3.0"""
"1042f,""2.0"""
"1042f.14,""3.0"""
"1042f.2,""5.0"""
